INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
222021220,3410,,TOWED MOTOR VEHICLE,C6, ,0,2022-03-26 19:35:00,2022,3,Saturday,19,,W BROADWAY,42.34274130505373,-71.05735680779159,"(42.34274130505373, -71.05735680779159)"
222021227,3115,,INVESTIGATE PERSON,D14, ,0,2022-03-26 19:35:00,2022,3,Saturday,19,,GLENMONT RD,42.346035014339535,-71.15865993748534,"(42.346035014339535, -71.15865993748534)"
222021218,3803,,M/V ACCIDENT - PERSONAL INJURY,C11, ,0,2022-03-26 19:29:00,2022,3,Saturday,19,,DORCHESTER AVE,42.28831573580817,-71.06358730143424,"(42.28831573580817, -71.06358730143424)"
222021215,2907,,VAL - OPERATING AFTER REV/SUSP.,E13, ,0,2022-03-26 19:29:00,2022,3,Saturday,19,,CENTRE ST,42.32270922185721,-71.09932316830728,"(42.32270922185721, -71.09932316830728)"
222021217,3301,,VERBAL DISPUTE,D4, ,0,2022-03-26 19:05:00,2022,3,Saturday,19,,BEACON ST,42.349670775822965,-71.09391984236218,"(42.349670775822965, -71.09391984236218)"
222021214,3410,,TOWED MOTOR VEHICLE,C11, ,0,2022-03-26 19:05:00,2022,3,Saturday,19,,HENDRY ST,42.30945933144783,-71.06514623392057,"(42.30945933144783, -71.06514623392057)"
222021221,1831,,SICK ASSIST,D4, ,0,2022-03-26 19:00:00,2022,3,Saturday,19,,SAINT BOTOLPH ST,42.34561900583096,-71.07990847031095,"(42.34561900583096, -71.07990847031095)"
222021212,1831,,SICK ASSIST,D4, ,0,2022-03-26 18:54:00,2022,3,Saturday,18,,HUNTINGTON AVE,42.34201849799732,-71.08566212663452,"(42.34201849799732, -71.08566212663452)"
222021222,1831,,SICK ASSIST,C11, ,0,2022-03-26 18:42:00,2022,3,Saturday,18,,BAILEY ST,42.28466568094173,-71.06602187804724,"(42.28466568094173, -71.06602187804724)"
222021205,612,,LARCENY PURSE SNATCH - NO FORCE,C11, ,0,2022-03-26 18:16:00,2022,3,Saturday,18,,FREEPORT ST,42.29234068370162,-71.04803995551818,"(42.29234068370162, -71.04803995551818)"
222021208,613,,LARCENY SHOPLIFTING,A1, ,0,2022-03-26 18:10:00,2022,3,Saturday,18,,WASHINGTON ST,42.355123390368036,-71.06087979851635,"(42.355123390368036, -71.06087979851635)"
222021198,3108,,FIRE REPORT,C11, ,0,2022-03-26 17:57:00,2022,3,Saturday,17,,WRENTHAM ST,42.28832860589526,-71.0593835451744,"(42.28832860589526, -71.0593835451744)"
222021195,3114,,INVESTIGATE PROPERTY,B3, ,0,2022-03-26 17:57:00,2022,3,Saturday,17,,BLUE HILL AVE,42.29908734060767,-71.08652243090454,"(42.29908734060767, -71.08652243090454)"
222021202,3001,,DEATH INVESTIGATION,A1, ,0,2022-03-26 17:39:00,2022,3,Saturday,17,,CONGRESS ST,42.36139412535742,-71.05768689522421,"(42.36139412535742, -71.05768689522421)"
222021192,301,,ROBBERY,D4,143,0,2022-03-26 17:39:00,2022,3,Saturday,17,,HUNTINGTON AVE,42.347498990301546,-71.07925505600643,"(42.347498990301546, -71.07925505600643)"
222021194,3410,,TOWED MOTOR VEHICLE,B2, ,0,2022-03-26 17:37:00,2022,3,Saturday,17,,COLUMBIA RD,42.31236297500346,-71.06890380503806,"(42.31236297500346, -71.06890380503806)"
222021186,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,D14,778,0,2022-03-26 17:33:00,2022,3,Saturday,17,,WASHINGTON ST,42.34905600030506,-71.15049849975023,"(42.34905600030506, -71.15049849975023)"
222021201,3801,,M/V ACCIDENT - OTHER,B2, ,0,2022-03-26 17:27:00,2022,3,Saturday,17,,BROOKLINE AVE,42.33748962485293,-71.10880593247535,"(42.33748962485293, -71.10880593247535)"
222021203,301,,ROBBERY,D14, ,0,2022-03-26 17:24:00,2022,3,Saturday,17,,STRATHMORE RD,42.33735838653172,-71.14730967872934,"(42.33735838653172, -71.14730967872934)"
222021197,3410,,TOWED MOTOR VEHICLE,A1, ,0,2022-03-26 17:22:00,2022,3,Saturday,17,,HANOVER ST,42.36379364845802,-71.05447076168957,"(42.36379364845802, -71.05447076168957)"
222021193,619,,LARCENY ALL OTHERS,B3, ,0,2022-03-26 17:15:00,2022,3,Saturday,17,,"BERNARD ST & TALBOT AVE
DORCHESTER  MA 02124
UNITE",42.292435963735805,-71.07950596390111,"(42.292435963735805, -71.07950596390111)"
222021187,611,,LARCENY PICK-POCKET,C11, ,0,2022-03-26 17:13:00,2022,3,Saturday,17,,DORCHESTER AVE,42.27273547993132,-71.06792410486108,"(42.27273547993132, -71.06792410486108)"
222021185,3502,,MISSING PERSON - LOCATED,E13, ,0,2022-03-26 17:12:00,2022,3,Saturday,17,,HYDE PARK AVE,42.29089200018848,-71.11806150022402,"(42.29089200018848, -71.11806150022402)"
222021171,619,,LARCENY ALL OTHERS,E18,520,0,2022-03-26 17:04:00,2022,3,Saturday,17,,HYDE PARK AVE,42.256215920402155,-71.12401947329023,"(42.256215920402155, -71.12401947329023)"
222021188,801,,ASSAULT - SIMPLE,E13, ,0,2022-03-26 17:02:00,2022,3,Saturday,17,,ROBINWOOD AVE,42.316240188860284,-71.1126701066929,"(42.316240188860284, -71.1126701066929)"
222021178,801,,ASSAULT - SIMPLE,C11, ,0,2022-03-26 16:54:00,2022,3,Saturday,16,,GENEVA AVE,42.298488661543864,-71.06313294177963,"(42.298488661543864, -71.06313294177963)"
222021175,3126,,WARRANT ARREST - OUTSIDE OF BOSTON WARRANT,D4, ,0,2022-03-26 16:54:00,2022,3,Saturday,16,,BOYLSTON STREET,0,0,"(0, 0)"
222021169,3006,,SICK/INJURED/MEDICAL - PERSON,C6, ,0,2022-03-26 16:45:00,2022,3,Saturday,16,,COLONEL MICHAEL J. MCDONOUGH WAY,42.32790482017649,-71.0530558337608,"(42.32790482017649, -71.0530558337608)"
222021177,3006,,SICK/INJURED/MEDICAL - PERSON,B3, ,0,2022-03-26 16:40:00,2022,3,Saturday,16,,RIVER ST,42.271330052757,-71.08299865022084,"(42.271330052757, -71.08299865022084)"
222021191,3410,,TOWED MOTOR VEHICLE,B2,237,0,2022-03-26 16:36:00,2022,3,Saturday,16,,HUMPHREYS ST,42.32038054416502,-71.06562780443673,"(42.32038054416502, -71.06562780443673)"
222021166,1831,,SICK ASSIST,B2,265,0,2022-03-26 16:35:00,2022,3,Saturday,16,,WAVERLY ST,42.32037671039494,-71.07903446612556,"(42.32037671039494, -71.07903446612556)"
222021176,3115,,INVESTIGATE PERSON,B2, ,0,2022-03-26 16:30:00,2022,3,Saturday,16,,FRANCIS ST,42.33538443957382,-71.10677964872764,"(42.33538443957382, -71.10677964872764)"
222021189,801,,ASSAULT - SIMPLE,D4, ,0,2022-03-26 16:27:00,2022,3,Saturday,16,,MASSACHUSETTS AVENUE,0,0,"(0, 0)"
222021167,3207,,PROPERTY - FOUND,C11, ,0,2022-03-26 16:21:00,2022,3,Saturday,16,,MOUNT IDA RD,42.30480488239109,-71.06421426056987,"(42.30480488239109, -71.06421426056987)"
222021161,3301,,VERBAL DISPUTE,E18,520,0,2022-03-26 16:09:00,2022,3,Saturday,16,,HYDE PARK AVE,42.256215920402155,-71.12401947329023,"(42.256215920402155, -71.12401947329023)"
222021199,616,,LARCENY THEFT OF BICYCLE,D14,778,0,2022-03-26 16:06:00,2022,3,Saturday,16,,WASHINGTON ST,42.34905600030506,-71.15049849975023,"(42.34905600030506, -71.15049849975023)"
222021180,2610,,TRESPASSING,C11, ,0,2022-03-26 15:51:00,2022,3,Saturday,15,,EAST ST,42.307611102229444,-71.0597056054912,"(42.307611102229444, -71.0597056054912)"
222021164,801,,ASSAULT - SIMPLE,B2, ,0,2022-03-26 15:50:00,2022,3,Saturday,15,,"PARKER ST & TREMONT ST
ROXBURY  MA 02120
UNITED ST",42.33178201035313,-71.09718902116164,"(42.33178201035313, -71.09718902116164)"
222021158,301,,ROBBERY,E5, ,0,2022-03-26 15:29:00,2022,3,Saturday,15,,"BEECHLAND CIR & BERAM AVE
ROSLINDALE  MA 02131
UNI",42.27677402139376,-71.13648601740105,"(42.27677402139376, -71.13648601740105)"
222021156,3410,,TOWED MOTOR VEHICLE,A1,121,0,2022-03-26 15:15:00,2022,3,Saturday,15,,WARRENTON ST,42.35002127719185,-71.06595675300073,"(42.35002127719185, -71.06595675300073)"
222021135,3301,,VERBAL DISPUTE,E5, ,0,2022-03-26 15:10:00,2022,3,Saturday,15,,MAHLER RD,42.29422547156493,-71.12094063494007,"(42.29422547156493, -71.12094063494007)"
222021154,727,,AUTO THEFT - LEASED/RENTED VEHICLE,D4, ,0,2022-03-26 15:08:00,2022,3,Saturday,15,,HUNTINGTON AVE,42.3448118186725,-71.08234323767634,"(42.3448118186725, -71.08234323767634)"
222021150,3802,,M/V ACCIDENT - PROPERTY DAMAGE,D4, ,0,2022-03-26 14:50:00,2022,3,Saturday,14,,"HUNTINGTON AVE & GAINSBOROUGH ST
BOSTON  MA 02115
",42.34141999872591,-71.08645994646908,"(42.34141999872591, -71.08645994646908)"
222021146,1831,,SICK ASSIST,B3, ,0,2022-03-26 14:44:00,2022,3,Saturday,14,,BLUE HILL AVE,42.26817397260553,-71.09387677261341,"(42.26817397260553, -71.09387677261341)"
222021145,1832,,SICK ASSIST - DRUG RELATED ILLNESS,A1, ,0,2022-03-26 14:41:00,2022,3,Saturday,14,,HARRISON AVE,42.35171678591079,-71.06118418786836,"(42.35171678591079, -71.06118418786836)"
222021144,1810,,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,C11, ,0,2022-03-26 14:35:00,2022,3,Saturday,14,,ADAMS ST,42.285234548025365,-71.0550967284938,"(42.285234548025365, -71.0550967284938)"
222021152,2905,,VAL - VIOLATION OF AUTO LAW,B2, ,0,2022-03-26 14:34:00,2022,3,Saturday,14,,DUDLEY ST,42.31987076181372,-71.07096263047784,"(42.31987076181372, -71.07096263047784)"
222021136,619,,LARCENY ALL OTHERS,A1,92,0,2022-03-26 14:27:00,2022,3,Saturday,14,,WASHINGTON ST,42.3587211117623,-71.05781196816415,"(42.3587211117623, -71.05781196816415)"
222021151,3112,,LANDLORD - TENANT,A7, ,0,2022-03-26 14:26:00,2022,3,Saturday,14,,FALCON ST,42.381962417819366,-71.03184459533995,"(42.381962417819366, -71.03184459533995)"
222021160,3115,,INVESTIGATE PERSON,D4, ,0,2022-03-26 14:25:00,2022,3,Saturday,14,,TREMONT ST,42.345903001121,-71.0694632197341,"(42.345903001121, -71.0694632197341)"
222021142,3115,,INVESTIGATE PERSON,A7,32,0,2022-03-26 14:22:00,2022,3,Saturday,14,,COTTAGE ST,42.36891444483881,-71.03399584506876,"(42.36891444483881, -71.03399584506876)"
222021141,735,,RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON),E18, ,0,2022-03-26 14:17:00,2022,3,Saturday,14,,MANSUR ST,42.27379841017211,-71.12188858736735,"(42.27379841017211, -71.12188858736735)"
222021128,3115,,INVESTIGATE PERSON,B3, ,0,2022-03-26 13:36:00,2022,3,Saturday,13,,WELLINGTON HILL ST,42.284647246350026,-71.09473284549426,"(42.284647246350026, -71.09473284549426)"
222021118,2647,,THREATS TO DO BODILY HARM,B2, ,0,2022-03-26 13:33:00,2022,3,Saturday,13,,HUNTINGTON AVE,42.33332887521637,-71.10659533965244,"(42.33332887521637, -71.10659533965244)"
222021249,1831,,SICK ASSIST,A1, ,0,2022-03-26 13:30:00,2022,3,Saturday,13,,LEGENDS WAY,42.36643546331782,-71.06135412537031,"(42.36643546331782, -71.06135412537031)"
222021133,3115,,INVESTIGATE PERSON,C6, ,0,2022-03-26 13:28:00,2022,3,Saturday,13,,"W FIRST ST & D ST
SOUTH BOSTON  MA 02127
UNITED ST",42.34070297910929,-71.048612040996,"(42.34070297910929, -71.048612040996)"
222021116,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,E18,520,0,2022-03-26 13:28:00,2022,3,Saturday,13,,HYDE PARK AVE,42.256215920402155,-71.12401947329023,"(42.256215920402155, -71.12401947329023)"
222021122,3802,,M/V ACCIDENT - PROPERTY DAMAGE,E5, ,0,2022-03-26 13:22:00,2022,3,Saturday,13,,"WELLSMERE RD & WASHINGTON ST
ROSLINDALE  MA 02131
",42.28010400049217,-71.1349349510901,"(42.28010400049217, -71.1349349510901)"
222021149,613,,LARCENY SHOPLIFTING,D14, ,0,2022-03-26 13:22:00,2022,3,Saturday,13,,SOLDIERS FIELD RD,42.35934409004712,-71.15389780173912,"(42.35934409004712, -71.15389780173912)"
222021132,3115,,INVESTIGATE PERSON,E13,634,0,2022-03-26 13:18:00,2022,3,Saturday,13,,CENTRE ST,42.32127430079857,-71.11030469114053,"(42.32127430079857, -71.11030469114053)"
222021119,3301,,VERBAL DISPUTE,B3, ,0,2022-03-26 13:18:00,2022,3,Saturday,13,,MORTON ST,42.2837459275895,-71.08938231696787,"(42.2837459275895, -71.08938231696787)"
222021139,423,,ASSAULT - AGGRAVATED,C6,210,0,2022-03-26 13:17:00,2022,3,Saturday,13,,"SUMMER ST & PUMPHOUSE RD
BOSTON  MA 02210
UNITED S",42.34517000796506,-71.04034996558593,"(42.34517000796506, -71.04034996558593)"
222021140,2647,,THREATS TO DO BODILY HARM,C11, ,0,2022-03-26 13:13:00,2022,3,Saturday,13,,FAULKNER ST,42.29960790826272,-71.06094615668306,"(42.29960790826272, -71.06094615668306)"
222021126,3301,,VERBAL DISPUTE,D14,768,0,2022-03-26 13:10:00,2022,3,Saturday,13,,MARKET ST,42.35657707007328,-71.1488378354605,"(42.35657707007328, -71.1488378354605)"
222021129,3114,,INVESTIGATE PROPERTY,B2, ,0,2022-03-26 13:08:00,2022,3,Saturday,13,,PUTNAM ST,42.32989215133386,-71.0889455233584,"(42.32989215133386, -71.0889455233584)"
222021113,3115,,INVESTIGATE PERSON,B2, ,0,2022-03-26 13:01:00,2022,3,Saturday,13,,CRAWFORD ST,42.31663836046697,-71.09171042507315,"(42.31663836046697, -71.09171042507315)"
222021111,2670,,HARASSMENT/ CRIMINAL HARASSMENT,C11, ,0,2022-03-26 12:59:00,2022,3,Saturday,12,,GIBSON ST,42.29755532959655,-71.05970910242573,"(42.29755532959655, -71.05970910242573)"
222021123,3115,,INVESTIGATE PERSON,B2, ,0,2022-03-26 12:58:00,2022,3,Saturday,12,,MORELAND ST,42.32306312846994,-71.07709874563007,"(42.32306312846994, -71.07709874563007)"
222021121,3115,,INVESTIGATE PERSON,D14, ,0,2022-03-26 12:56:00,2022,3,Saturday,12,,BELLAMY ST,42.354820756342285,-71.16958756823541,"(42.354820756342285, -71.16958756823541)"
222021125,3112,,LANDLORD - TENANT,D4, ,0,2022-03-26 12:52:00,2022,3,Saturday,12,,MASSACHUSETTS AVE,42.335621261539046,-71.07582360570268,"(42.335621261539046, -71.07582360570268)"
222021172,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,A1,77,0,2022-03-26 12:50:00,2022,3,Saturday,12,,NEW SUDBURY ST,42.361838566564714,-71.05976489094158,"(42.361838566564714, -71.05976489094158)"
222021115,3410,,TOWED MOTOR VEHICLE,E18, ,0,2022-03-26 12:49:00,2022,3,Saturday,12,,HYDE PARK AVE,42.258439092274145,-71.12348833479446,"(42.258439092274145, -71.12348833479446)"
222021109,613,,LARCENY SHOPLIFTING,D4, ,0,2022-03-26 12:27:00,2022,3,Saturday,12,,BOYLSTON STREET,0,0,"(0, 0)"
222021100,619,,LARCENY ALL OTHERS,A15, ,0,2022-03-26 12:02:00,2022,3,Saturday,12,,VINE ST,42.37700233573046,-71.05678879455508,"(42.37700233573046, -71.05678879455508)"
222021159,3201,,PROPERTY - LOST/ MISSING,D4,167,0,2022-03-26 12:00:00,2022,3,Saturday,12,,HARRISON AVE,42.33893528651834,-71.07016501988292,"(42.33893528651834, -71.07016501988292)"
222021105,3006,,SICK/INJURED/MEDICAL - PERSON,B2, ,0,2022-03-26 11:59:00,2022,3,Saturday,11,,VIRGINIA ST,42.31694068069151,-71.06719267660127,"(42.31694068069151, -71.06719267660127)"
222021153,520,,BURGLARY - RESIDENTIAL,C6, ,0,2022-03-26 11:40:00,2022,3,Saturday,11,,FAN PIER BLVD,42.353323825402086,-71.04573775215997,"(42.353323825402086, -71.04573775215997)"
